price_level,level_type,timeframe,created_at,source,anchor_time,completion_time,direction,period,support_touches,resistance_touches
90126.5,Fib_0.639_daily,daily,2025-03-04,fibonacci,2025-03-02,2025-03-04,high_to_low,,0,1
90163.725,Fib_0.50_daily,daily,2025-05-12,fibonacci,2025-04-07,2025-05-12,low_to_high,,0,1
90300.0,VP_vah,daily,,volume_profile,,,,2025-01-13,0,0
90328.73,Fib_0.75_daily,daily,2025-05-22,fibonacci,2025-04-16,2025-05-22,low_to_high,,0,0
90401.5,Fib_0.75_daily,daily,2025-03-11,fibonacci,2025-03-02,2025-03-11,high_to_low,,0,1
90445.53,Fib_0.25_daily,daily,2025-04-25,fibonacci,2025-04-07,2025-04-25,low_to_high,,0,1
90461.913,Fib_0.639_daily,daily,2025-04-07,fibonacci,2025-02-21,2025-04-07,high_to_low,,0,1
90482.72,Fib_0.50_daily,daily,2025-04-07,fibonacci,2025-01-30,2025-04-07,high_to_low,,0,1
90503.66,Fib_0.50_daily,daily,2025-05-02,fibonacci,2025-04-16,2025-05-02,low_to_high,,0,0
90606.0,HTF_Level_daily,daily,2025-03-06,htf,,,,,0,1
90660.0,VP_val,daily,,volume_profile,,,,2025-03-05,1,1
90814.0,Fib_0.50_daily,daily,2025-04-07,fibonacci,2025-01-24,2025-04-07,high_to_low,,1,1
90814.63,Fib_0.25_daily,daily,2025-03-02,fibonacci,2025-02-28,2025-03-02,low_to_high,,1,1
90885.56361,Fib_0.639_daily,daily,2025-04-07,fibonacci,2025-02-07,2025-04-07,high_to_low,,0,1
90922.6,Fib_0.50_daily,daily,2025-05-02,fibonacci,2025-04-20,2025-05-02,low_to_high,,0,1
90957.14,Fib_0.75_daily,daily,2025-05-22,fibonacci,2025-04-20,2025-05-22,low_to_high,,0,1
91203.67,Fractal_Low,daily,2025-01-09,fractal,,,,,1,1
91219.291,Fib_0.639_daily,daily,2025-03-11,fibonacci,2025-02-21,2025-03-11,high_to_low,,0,1
91231.0,Fractal_Low,daily,2025-02-03,fractal,,,,,1,1
91309.15941,Fib_0.639_daily,daily,2025-05-12,fibonacci,2025-04-16,2025-05-12,low_to_high,,0,1
91501.0,VP_val,daily,,volume_profile,,,,2025-04-22,1,1
91531.72,Fib_0.50_daily,daily,2025-03-11,fibonacci,2025-01-30,2025-03-11,high_to_low,,1,1
91600.0,VP_poc,daily,,volume_profile,,,,2025-01-13,1,1
91625.0,Fib_0.75_daily,daily,2025-03-04,fibonacci,2025-03-02,2025-03-04,high_to_low,,1,1
91642.94161,Fib_0.639_daily,daily,2025-03-11,fibonacci,2025-02-07,2025-03-11,high_to_low,,1,1
91684.0,VP_vah,daily,,volume_profile,,,,2025-02-03,1,1
91800.0,VP_vah,daily,,volume_profile,,,,2025-01-09,1,1
91815.85072,Fib_0.639_daily,daily,2025-02-28,fibonacci,2025-02-21,2025-02-28,high_to_low,,1,1
91844.56473,Fib_0.639_daily,daily,2025-05-12,fibonacci,2025-04-20,2025-05-12,low_to_high,,1,1
91863.0,Fib_0.50_daily,daily,2025-03-11,fibonacci,2025-01-24,2025-03-11,high_to_low,,1,1
92000.0,VP_val,daily,,volume_profile,,,,2025-03-06,1,0
92048.0,Fib_0.50_daily,daily,2025-04-07,fibonacci,2025-01-20,2025-04-07,high_to_low,,1,0
92048.76,Fib_0.25_daily,daily,2025-05-02,fibonacci,2025-04-07,2025-05-02,low_to_high,,1,0
92239.50133,Fib_0.639_daily,daily,2025-02-28,fibonacci,2025-02-07,2025-02-28,high_to_low,,2,0
92357.98,Fib_0.50_daily,daily,2025-02-28,fibonacci,2025-01-30,2025-02-28,high_to_low,,2,0
92552.49,HTF_Level_daily,daily,2025-01-10,htf,,,,,2,0
92586.0,VP_vah,daily,,volume_profile,,,,2025-04-24,1,0
92596.44,Fib_0.25_daily,daily,2025-04-25,fibonacci,2025-04-16,2025-04-25,low_to_high,,1,0
92623.6125,Fib_0.25_daily,daily,2025-01-13,fibonacci,2025-01-07,2025-01-13,high_to_low,,1,0
92689.26,Fib_0.50_daily,daily,2025-02-28,fibonacci,2025-01-24,2025-02-28,high_to_low,,0,1
92800.01,Fractal_Low,daily,2025-04-28,fractal,,,,,0,1
92805.91,Fib_0.25_daily,daily,2025-04-25,fibonacci,2025-04-20,2025-04-25,low_to_high,,0,1
