price_level,level_type,timeframe,created_at,source,anchor_time,completion_time,direction,period
15476.0,Fractal_Low,daily,2022-11-21,fractal,,,,
15588.0,Fractal_Low,daily,2022-11-09,fractal,,,,
15754.0,VP_vah,daily,,volume_profile,,,,2022-11-10
15781.29,HTF_Level_daily,daily,2022-11-22,htf,,,,
15805.0,VP_vah,daily,,volume_profile,,,,2022-11-22
15810.157500000001,Fib_0.75_daily,daily,2022-11-24,fibonacci,2022-11-21,2022-11-24,low_to_high,
15815.21,Fractal_Low,daily,2022-11-14,fractal,,,,
15904.5,Fib_0.25_daily,daily,2022-11-21,fibonacci,2022-11-14,2022-11-21,high_to_low,
15922.68,HTF_Level_daily,daily,2022-11-10,htf,,,,
15938.0,Fib_0.75_daily,daily,2022-12-01,fibonacci,2022-11-21,2022-12-01,low_to_high,
15958.523430000001,Fib_0.639_daily,daily,2022-11-24,fibonacci,2022-11-21,2022-11-24,low_to_high,
15961.0,VP_vah,daily,,volume_profile,,,,2022-11-21
15963.0625,Fib_0.75_daily,daily,2022-12-05,fibonacci,2022-11-21,2022-12-05,low_to_high,
15988.5,Fib_0.75_daily,daily,2022-11-14,fibonacci,2022-11-09,2022-11-14,low_to_high,
15995.27,Fractal_Low,daily,2022-11-28,fractal,,,,
16030.0,VP_poc,daily,,volume_profile,,,,2022-11-21
16141.0,VP_vah,daily,,volume_profile,,,,2022-11-28
16143.128,Fib_0.639_daily,daily,2022-12-01,fibonacci,2022-11-21,2022-12-01,low_to_high,
16144.315,Fib_0.50_daily,daily,2022-11-24,fibonacci,2022-11-21,2022-11-24,low_to_high,
16166.322,Fib_0.639_daily,daily,2022-11-14,fibonacci,2022-11-09,2022-11-14,low_to_high,
16179.31825,Fib_0.639_daily,daily,2022-12-05,fibonacci,2022-11-21,2022-12-05,low_to_high,
16181.0,VP_poc,daily,,volume_profile,,,,2022-11-22
16199.61,Fib_0.25_daily,daily,2022-11-28,fibonacci,2022-11-24,2022-11-28,high_to_low,
16203.9875,Fib_0.75_daily,daily,2022-12-14,fibonacci,2022-11-21,2022-12-14,low_to_high,
16206.0,VP_poc,daily,,volume_profile,,,,2022-11-28
16212.18,HTF_Level_daily,daily,2022-11-29,htf,,,,
16243.0,VP_val,daily,,volume_profile,,,,2022-11-21
16249.0,VP_val,daily,,volume_profile,,,,2022-11-28
16256.3,Fractal_Low,daily,2022-12-19,fractal,,,,
16260.0,VP_vah,daily,,volume_profile,,,,2022-11-14
