timestamp,open,high,low,close,volume,nearest_support_distance_pct,nearest_resistance_distance_pct,nearest_support_strength,nearest_resistance_strength,levels_in_zone_0_5pct,daily_levels_in_zone_0_5pct,weekly_levels_in_zone_0_5pct,monthly_levels_in_zone_0_5pct,HTF_level_in_zone_0_5pct,VP_poc_in_zone_0_5pct,Fib_0_618_in_zone_0_5pct,Fractal_High_in_zone_0_5pct,Fractal_Low_in_zone_0_5pct,confluence_strength_zone_0_5pct,levels_in_zone_1_0pct,daily_levels_in_zone_1_0pct,weekly_levels_in_zone_1_0pct,monthly_levels_in_zone_1_0pct,HTF_level_in_zone_1_0pct,VP_poc_in_zone_1_0pct,Fib_0_618_in_zone_1_0pct,Fractal_High_in_zone_1_0pct,Fractal_Low_in_zone_1_0pct,confluence_strength_zone_1_0pct,levels_in_zone_1_5pct,daily_levels_in_zone_1_5pct,weekly_levels_in_zone_1_5pct,monthly_levels_in_zone_1_5pct,HTF_level_in_zone_1_5pct,VP_poc_in_zone_1_5pct,Fib_0_618_in_zone_1_5pct,Fractal_High_in_zone_1_5pct,Fractal_Low_in_zone_1_5pct,confluence_strength_zone_1_5pct,levels_in_zone_2_0pct,daily_levels_in_zone_2_0pct,weekly_levels_in_zone_2_0pct,monthly_levels_in_zone_2_0pct,HTF_level_in_zone_2_0pct,VP_poc_in_zone_2_0pct,Fib_0_618_in_zone_2_0pct,Fractal_High_in_zone_2_0pct,Fractal_Low_in_zone_2_0pct,confluence_strength_zone_2_0pct,volume_ma_20_ratio,volume_ma_50_ratio,volume_spike,volume_percentile_20,volume_trend_5,body_ratio,upper_wick_ratio,lower_wick_ratio,is_bullish,price_change_pct,gap_pct,price_vs_ma20_pct,price_vs_ma50_pct,ma20_vs_ma50_pct,volatility_14d,price_range_14d_pct,hour_of_day,day_of_week,hour_normalized,day_normalized,session_asian,session_european,session_american,hours_since_last_bullish_fractal,hours_since_last_bearish_fractal,fractal_direction
2025-01-01 02:00:00,93607.74,94105.12,93594.56,94098.91,276.78045,999.0,999.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0,50.0,0.0,0.9620220933876538,0.012163115010952442,0.025814791601393817,1,0.5247108839504064,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0.08695652173913043,0.3333333333333333,1,0,0,999.0,999.0,0
2025-01-01 03:00:00,94098.9,94098.91,93728.22,93838.04,220.99302,999.0,999.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0,50.0,0.0,0.7037146942188862,2.697671911654796e-05,0.2962583290619972,0,-0.2772295662085883,-1.0627115669366655e-05,0.0,0.0,0.0,0.0,0.0,3,2,0.13043478260869565,0.3333333333333333,1,0,0,999.0,999.0,1
2025-01-01 04:00:00,93838.04,93838.04,93500.0,93553.91,279.46909,999.0,999.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0,50.0,0.0,0.8405218317358759,0.0,0.15947816826412411,0,-0.30278765413257797,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0.17391304347826086,0.3333333333333333,1,0,0,999.0,999.0,0
2025-01-01 05:00:00,93553.91,93937.19,93547.4,93792.02,209.1794,999.0,999.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0,50.0,0.0,0.6108673901331373,0.372431309166462,0.01670130070040067,1,0.25451635319143856,0.0,0.0,0.0,0.0,0.0,0.0,5,2,0.21739130434782608,0.3333333333333333,1,0,0,1.0,999.0,0
2025-01-01 06:00:00,93792.02,93792.02,93568.38,93757.58,272.27846,999.0,999.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0,50.0,0.0,0.15399749597568602,0.0,0.846002504024314,0,-0.036719541811768557,0.0,0.0,0.0,0.0,0.0,0.0,6,2,0.2608695652173913,0.3333333333333333,1,0,0,2.0,999.0,0
2025-01-01 07:00:00,93757.57,93800.0,93664.08,93684.1,197.93458,999.0,999.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0,50.0,0.0,0.5405385520894799,0.3121689228957737,0.1472925250147464,0,-0.07837233000254051,-1.0665804295248778e-05,0.0,0.0,0.0,0.0,0.0,7,2,0.30434782608695654,0.3333333333333333,1,0,0,3.0,999.0,0
2025-01-01 08:00:00,93684.11,93756.02,93304.0,93428.46,481.71173,999.0,999.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0,50.0,0.0,0.56557231980884,0.15908588115570738,0.2753417990354526,0,-0.27287447923393554,1.0674169890900708e-05,0.0,0.0,0.0,0.0,0.0,8,2,0.34782608695652173,0.3333333333333333,0,1,0,4.0,999.0,1
2025-01-01 09:00:00,93428.47,93486.29,92888.0,93413.06,798.49773,999.0,999.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0,50.0,0.0,0.02575674004246044,0.09664209664208503,0.8776011633154546,0,-0.01648320008700639,1.0703376674261044e-05,0.0,0.0,0.0,0.0,0.0,9,2,0.391304347826087,0.3333333333333333,0,1,0,5.0,999.0,0
2025-01-01 10:00:00,93413.07,93536.75,93284.0,93326.23,265.55192,999.0,999.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0,50.0,0.0,0.3435806132542475,0.4893372898120396,0.16708209693371287,0,-0.092952741297632,1.0705141239686642e-05,0.0,0.0,0.0,0.0,0.0,10,2,0.43478260869565216,0.3333333333333333,0,1,0,1.0,999.0,0
2025-01-01 11:00:00,93326.24,93705.08,93200.0,93444.64,321.72225,999.0,999.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0,50.0,0.0,0.23441830997068538,0.5156410865605477,0.24994060346876693,1,0.1268775134279007,1.071510122000345e-05,0.0,0.0,0.0,0.0,0.0,11,2,0.4782608695652174,0.3333333333333333,0,1,0,2.0,999.0,0
